rank,address,wallet,buy_tx,buy_block,usdc,venue,nonce,eth
263,0xef46470b01ef326eaf8b22bf295df62d985d9179,delegated,0x0071f7cb00f1763f2fc5dcbacac4836af827b3c9bd9691b3bc2f5f1dcb6887ca,49985372,1000.870467,LI.FI diamond,43,0.000259175551162572
264,0x2debe2542f9c7442b7f311089a1057b8ef327ccf,plain,0xa33272e69aaa16431835a288bab4f652c578785eec1a86155d12371c0e2d844b,49985275,312.524416,LI.FI diamond,35,0.01882133769928021
265,0xdecd504c466d891b7833de68838f0e2730e23a17,delegated,0xada3ae4f0ed6d56fdc6993310ee69e593fd06013c11a504fccfe9d2aff8c9af2,49985041,937.335453,LI.FI diamond,17335,0.00386587651809734
266,0x470bf153e6700ca132dc2e3b8c96d9c3bb999b80,delegated,0x8f4834b18eba0fbfd2b75c9658f1e23f629ec86aef97763caa2f02d2f7220f51,49984793,250,LI.FI diamond,258,0.002096505910166784
267,0xa57487c14f29a8a7b53c8c763a353df895720c69,plain,0x522a81c93e46754c12dd385ab7dcd2fd05815796d9bbb5f3a05c2b5645efddd2,49984491,4950,Uniswap universal router,647,5.29033442452373
268,0x705d0324baa234af134265933819004134ac88d2,delegated,0x0391a1c95f58c22627b8c7971a6e16187db5bc5a910857337b17f72d82aa87a1,49984351,902.800513,LI.FI diamond,8,1.745333953e-7
269,0xe1eeff96e88fcbc11cbb8122d8597f49a018f85a,delegated,0xdef7b815c554a2a9b1cc6c3409cd147064f57da57cd98c3c5a7d406410ff3725,49984221,1172.484069,LI.FI diamond,10,2.73251051963e-7
270,0xe34fbe49314d46f580a8144e5cd20bafc3bdeb7f,plain,0xe2dc8461b42e7e88816d2cde6acd18a3f77ca5be9ef3de96abe351a8ce0b0fe8,49984043,390.24,LI.FI diamond,6,0.000001561956895981
271,0xfcdb212e7e7588d2dd2cc44c30f6c79fb507db4b,plain,0x808aed2bb0b45736dabff32826596971754e386c8771d42a56af0c3a285f666b,49983483,746.7697,Uniswap universal router,3347,0.006627837587047646
272,0x6af55b6921c82872f14e7f3e6e17bc2e0b2559b9,delegated,0xe1271833deb74b01693185a3b2aaa96de601488a55e6cc6cc8d6da28c84783c4,49982787,260,LI.FI diamond,535,0.000351970067315032
273,0xad4fc4197665c6e587ca08605538f31b585dd552,delegated,0xdafaa8a5a5839a37552d51c7b62026419dbd881d7d3fb302e015d9a5a428e02d,49982112,872.465062,Uniswap universal router,10,0.001120915209036246
